imdbID,Title,Note
tt5749748,Reseba - The Dark Wind,2018-04-05
tt6675244,Transit,2018-04-05
tt1620680,"Wrinkle in Time, A","2018-04-05 | Zeiträtsel, Das (2D/3D)"
tt8107882,Bizim Köyün Sarkisi,2018-04-08
tt6463494,3 Tage in Quiberon,2018-04-12
tt7442274,Can Feda,2018-04-12
tt5459382,"Etruskische Lächeln, Das",2018-04-12
tt5712152,Layla M.,2018-04-12
tt5964694,Papa Moll und die Entführung des fliegenden Hundes,2018-04-12
tt6644200,"Quiet Place, A",2018-04-12
tt2531344,Blockers,"2018-04-12 | Sex Pakt, Der"
tt7231560,Spielmacher,2018-04-12
tt6686700,Steig. Nicht. Aus!,2018-04-12
tt5916734,Wildes Herz,* 2018-04-12
tt6952604,Arrhythmia,2018-04-19
tt5993456,Mission Pays Basque,2018-04-19 | Die Pariserin - Auftrag Baskenland
tt3657610,Farewell Halong,2018-04-19
tt5516328,Ghost Stories,2018-04-19
tt5196158,"Haut der Anderen, Die",2018-04-19
tt6373738,Barndom/Childhood,2018-04-19 | Kindheit
tt4925292,Lady Bird,2018-04-19
tt7125510,Matti und Sami und die drei grössten Fehler des Universums,2018-04-19
tt4505670,Pawo,2018-04-19
tt0051334,"Roman J. Israel, Esq.","2018-04-19 | Roman J. Israel, Esq. - Die Wahrheit und nichts als die Wahrheit"
tt5716464,Breathe,2018-04-19 | Solange ich atme
tt7951242,SPK-Komplex,2018-04-19
tt3881784,Stronger,2018-04-19
tt7363412,The 15:17 to Paris,2018-04-19
tt6775942,The King / aka: Promised Land,2018-04-19 | The King - Mit Elvis durch Amerika
tt8422594,Zeit für Utopien,2018-04-19
tt7632930,Trener - Coach,2018-04-22
tt4154756,Avengers: Infinity War,2018-04-26 | Avengers: Infinity War (2D/3D)
tt8077746,Bauhaus 100,2018-04-26
tt5852534,"Beautiful Day, A",* 2018-04-26
tt8061070,Cici Babam,2018-04-26
tt6814914,Djam,2018-04-26
tt6551438,Draußen in meinem Kopf,2018-04-26
tt4701724,Early Man,2018-04-26 | Early Man - Steinzeit bereit
tt7877982,Eldorado,2018-04-26
tt4073682,Grain,2018-04-26 | Grain - Weizen
tt5628792,Aurore,2018-04-26 | Madame Aurora und der Duft von Frühling
tt6340226,"Maybe, Baby!",2018-04-26
tt8077746,Vom Bauen der Zukunft - 100 Jahre Bauhaus,2018-04-26
tt1959563,Zud,* 2018-04-26
tt5466186,7 Days of Entebbe,2018-05-03 | 7 Tage in Entebbe
tt5598160,Jeune Femme,2018-05-03 | Bonjour Paris
tt4459156,55 Steps,2018-05-03 | Eleanor & Colette
tt5145414,Familiye,2018-05-03
tt5455410,Gutland,2018-05-03
tt7028470,aka: Subs (AT),2018-05-03 | HERRliche Zeiten
tt5356274,Prince of Nothingwood,2018-05-03 | Meister der Träume
tt8386844,aka: Women in War (AT),2018-05-03 | Monika Hauser - Ein Porträt
tt3438354,Smetto quando voglio,2018-05-03 | Morgen ist Schluss
tt3829920,Only the Brave,2018-05-03 | No Way Out - Gegen die Flammen
tt5070130,Rara/Meine Eltern sind irgendwie anders,2018-05-03
tt0371128,Reggae Boyz,* 2018-05-03
tt1629372,Rewind,* 2018-05-03
tt5618752,Krotkaya/A gentle creature,"2018-05-03 | Sanfte, Die"
tt2296777,Sherlock Gnomes,2018-05-03 | Sherlock Gnomes (3D)
tt6544376,Speak up,* 2018-05-03
tt5812842,Tage am Meer,* 2018-05-03
tt8370246,Therapie für Gangster,2018-05-03
tt8178760,Träum weiter,* 2018-05-03
tt6011310,"Unmögliche Bild, Das",2018-05-03
tt6071168,aka: Monster (AT),2018-05-03 | Wer hat eigentlich die Liebe erfunden
tt6877798,Auf der Jagd - Wem gehört die Natur?,2018-05-10
tt8152742,"Ojos del Camino, Los","2018-05-10 | Augen des Weges, Die"
tt6772950,Blumhouse's Truth or Dare,2018-05-10 | Blumhouse präsentiert: Wahrheit oder Pflicht
tt3127022,The Bookshop,"2018-05-10 | Buchladen der Florence Green, Der"
tt5244578,Dance Fight Love Die,2018-05-10
